,dataset_language_x,word_embedding,language_model,word_embedding_architecture,word_embedding_size,unk_x,preprocessed,pearson_x,MSE_x,dataset_language_y,unk_y,pearson_y,MSE_y,pearson_diff
53,pteu,fasttext ,,skip-gram,1000,False,False,0.444,0.938,pteu,True,0.231,1.117,0.213
73,pteu,fasttext ,,skip-gram,300,False,False,0.423,0.962,pteu,True,0.265,1.099,0.158
85,pteu,fasttext ,,skip-gram,600,False,False,0.408,0.975,pteu,True,0.262,1.1,0.146
97,pteu,fasttext ,,skip-gram,50,False,False,0.391,0.995,pteu,True,0.267,1.099,0.124
93,pteu,fasttext ,,skip-gram,100,False,False,0.395,0.989,pteu,True,0.274,1.093,0.121
57,pteu,wang2vec ,,skip-gram,100,True,False,0.44,0.947,pteu,False,0.385,0.997,0.055
61,pteu,wang2vec ,,skip-gram,300,True,False,0.44,0.943,pteu,False,0.385,0.994,0.055
137,pteu,glove ,,,50,False,False,0.312,1.069,pteu,True,0.262,1.097,0.05
77,pteu,wang2vec ,,skip-gram,50,True,False,0.419,0.971,pteu,False,0.37,1.012,0.049
65,pteu,wang2vec ,,skip-gram,600,True,False,0.432,0.949,pteu,False,0.383,0.995,0.049
121,pteu,glove ,,,600,False,False,0.33,1.042,pteu,True,0.282,1.076,0.048
69,pteu,wang2vec ,,CBOW,300,True,False,0.432,0.951,pteu,False,0.386,0.992,0.046
81,pteu,wang2vec ,,skip-gram,1000,True,False,0.416,0.965,pteu,False,0.371,1.005,0.045
133,pteu,glove ,,,100,False,False,0.314,1.061,pteu,True,0.275,1.085,0.039
129,pteu,glove ,,,1000,False,False,0.326,1.043,pteu,True,0.288,1.072,0.038
13,pteu,wang2vec ,,CBOW,100,True,False,0.489,0.897,pteu,False,0.455,0.931,0.034
117,pteu,fasttext ,,CBOW,50,True,False,0.354,1.039,pteu,False,0.322,1.055,0.032
45,pteu,wang2vec ,,CBOW,50,True,False,0.461,0.929,pteu,False,0.432,0.956,0.029
113,pteu,fasttext ,,CBOW,100,True,False,0.361,1.032,pteu,False,0.333,1.046,0.028
125,pteu,glove ,,,300,False,False,0.328,1.045,pteu,True,0.303,1.064,0.025
109,pteu,fasttext ,,CBOW,300,True,False,0.362,1.031,pteu,False,0.341,1.04,0.021
29,pteu,word2vec ,,skip-gram,300,True,False,0.475,0.914,pteu,False,0.456,0.931,0.019
17,pteu,word2vec ,,skip-gram,600,True,False,0.481,0.907,pteu,False,0.463,0.925,0.018
41,pteu,word2vec ,,skip-gram,100,True,False,0.465,0.926,pteu,False,0.448,0.941,0.017
89,pteu,word2vec ,,skip-gram,50,True,False,0.406,0.981,pteu,False,0.389,0.994,0.017
101,pteu,fasttext ,,CBOW,600,True,False,0.378,1.017,pteu,False,0.362,1.022,0.016
105,pteu,fasttext ,,CBOW,1000,True,False,0.373,1.02,pteu,False,0.358,1.025,0.015
25,pteu,word2vec ,,skip-gram,1000,True,False,0.479,0.907,pteu,False,0.465,0.921,0.014
1,pteu,word2vec ,,CBOW,600,True,False,0.508,0.891,pteu,False,0.5,0.899,0.008
9,pteu,word2vec ,,CBOW,1000,True,False,0.503,0.897,pteu,False,0.495,0.905,0.008
5,pteu,word2vec ,,CBOW,300,True,False,0.506,0.892,pteu,False,0.5,0.897,0.006
37,pteu,wang2vec ,,CBOW,600,True,False,0.468,0.931,pteu,False,0.464,0.935,0.004
33,pteu,wang2vec ,,CBOW,1000,True,False,0.471,0.928,pteu,False,0.467,0.932,0.004
21,pteu,word2vec ,,CBOW,100,True,False,0.48,0.913,pteu,False,0.478,0.914,0.002
49,pteu,word2vec ,,CBOW,50,False,False,0.453,0.938,pteu,True,0.452,0.939,0.001
50,pteu,word2vec ,,CBOW,50,True,False,0.452,0.939,pteu,False,0.453,0.938,-0.001
22,pteu,word2vec ,,CBOW,100,False,False,0.478,0.914,pteu,True,0.48,0.913,-0.002
34,pteu,wang2vec ,,CBOW,1000,False,False,0.467,0.932,pteu,True,0.471,0.928,-0.004
38,pteu,wang2vec ,,CBOW,600,False,False,0.464,0.935,pteu,True,0.468,0.931,-0.004
6,pteu,word2vec ,,CBOW,300,False,False,0.5,0.897,pteu,True,0.506,0.892,-0.006
2,pteu,word2vec ,,CBOW,600,False,False,0.5,0.899,pteu,True,0.508,0.891,-0.008
10,pteu,word2vec ,,CBOW,1000,False,False,0.495,0.905,pteu,True,0.503,0.897,-0.008
26,pteu,word2vec ,,skip-gram,1000,False,False,0.465,0.921,pteu,True,0.479,0.907,-0.014
106,pteu,fasttext ,,CBOW,1000,False,False,0.358,1.025,pteu,True,0.373,1.02,-0.015
102,pteu,fasttext ,,CBOW,600,False,False,0.362,1.022,pteu,True,0.378,1.017,-0.016
90,pteu,word2vec ,,skip-gram,50,False,False,0.389,0.994,pteu,True,0.406,0.981,-0.017
42,pteu,word2vec ,,skip-gram,100,False,False,0.448,0.941,pteu,True,0.465,0.926,-0.017
18,pteu,word2vec ,,skip-gram,600,False,False,0.463,0.925,pteu,True,0.481,0.907,-0.018
30,pteu,word2vec ,,skip-gram,300,False,False,0.456,0.931,pteu,True,0.475,0.914,-0.019
110,pteu,fasttext ,,CBOW,300,False,False,0.341,1.04,pteu,True,0.362,1.031,-0.021
126,pteu,glove ,,,300,True,False,0.303,1.064,pteu,False,0.328,1.045,-0.025
114,pteu,fasttext ,,CBOW,100,False,False,0.333,1.046,pteu,True,0.361,1.032,-0.028
46,pteu,wang2vec ,,CBOW,50,False,False,0.432,0.956,pteu,True,0.461,0.929,-0.029
118,pteu,fasttext ,,CBOW,50,False,False,0.322,1.055,pteu,True,0.354,1.039,-0.032
14,pteu,wang2vec ,,CBOW,100,False,False,0.455,0.931,pteu,True,0.489,0.897,-0.034
130,pteu,glove ,,,1000,True,False,0.288,1.072,pteu,False,0.326,1.043,-0.038
134,pteu,glove ,,,100,True,False,0.275,1.085,pteu,False,0.314,1.061,-0.039
82,pteu,wang2vec ,,skip-gram,1000,False,False,0.371,1.005,pteu,True,0.416,0.965,-0.045
70,pteu,wang2vec ,,CBOW,300,False,False,0.386,0.992,pteu,True,0.432,0.951,-0.046
122,pteu,glove ,,,600,True,False,0.282,1.076,pteu,False,0.33,1.042,-0.048
78,pteu,wang2vec ,,skip-gram,50,False,False,0.37,1.012,pteu,True,0.419,0.971,-0.049
66,pteu,wang2vec ,,skip-gram,600,False,False,0.383,0.995,pteu,True,0.432,0.949,-0.049
138,pteu,glove ,,,50,True,False,0.262,1.097,pteu,False,0.312,1.069,-0.05
62,pteu,wang2vec ,,skip-gram,300,False,False,0.385,0.994,pteu,True,0.44,0.943,-0.055
58,pteu,wang2vec ,,skip-gram,100,False,False,0.385,0.997,pteu,True,0.44,0.947,-0.055
94,pteu,fasttext ,,skip-gram,100,True,False,0.274,1.093,pteu,False,0.395,0.989,-0.121
98,pteu,fasttext ,,skip-gram,50,True,False,0.267,1.099,pteu,False,0.391,0.995,-0.124
86,pteu,fasttext ,,skip-gram,600,True,False,0.262,1.1,pteu,False,0.408,0.975,-0.146
74,pteu,fasttext ,,skip-gram,300,True,False,0.265,1.099,pteu,False,0.423,0.962,-0.158
54,pteu,fasttext ,,skip-gram,1000,True,False,0.231,1.117,pteu,False,0.444,0.938,-0.213
