,dataset_language_x,word_embedding,language_model,word_embedding_architecture,word_embedding_size,unk,preprocessed_x,pearson_x,MSE_x,dataset_language_y,preprocessed_y,pearson_y,MSE_y,pearson_diff
7,pteu,fasttext ,,skip-gram,1000,True,True,0.563,0.808,pteu,False,0.231,1.117,0.33199999999999996
19,pteu,fasttext ,,skip-gram,300,True,True,0.532,0.849,pteu,False,0.265,1.099,0.267
25,pteu,fasttext ,,skip-gram,600,True,True,0.525,0.856,pteu,False,0.262,1.1,0.263
43,pteu,fasttext ,,skip-gram,100,True,True,0.492,0.894,pteu,False,0.274,1.093,0.21799999999999997
47,pteu,fasttext ,,skip-gram,50,True,True,0.469,0.924,pteu,False,0.267,1.099,0.20199999999999996
51,pteu,glove ,,,600,True,True,0.443,0.934,pteu,False,0.282,1.076,0.16100000000000003
53,pteu,glove ,,,1000,True,True,0.441,0.936,pteu,False,0.288,1.072,0.15300000000000002
57,pteu,glove ,,,100,True,True,0.421,0.962,pteu,False,0.275,1.085,0.14599999999999996
35,pteu,wang2vec ,,skip-gram,1000,False,True,0.513,0.865,pteu,False,0.371,1.005,0.14200000000000002
59,pteu,glove ,,,50,True,True,0.404,0.98,pteu,False,0.262,1.097,0.14200000000000002
27,pteu,wang2vec ,,skip-gram,600,False,True,0.522,0.853,pteu,False,0.383,0.995,0.139
54,pteu,glove ,,,300,True,True,0.436,0.944,pteu,False,0.303,1.064,0.133
31,pteu,wang2vec ,,skip-gram,300,False,True,0.518,0.858,pteu,False,0.385,0.994,0.133
32,pteu,wang2vec ,,CBOW,300,False,True,0.514,0.864,pteu,False,0.386,0.992,0.128
6,pteu,fasttext ,,skip-gram,1000,False,True,0.571,0.796,pteu,False,0.444,0.938,0.12699999999999995
21,pteu,fasttext ,,skip-gram,600,False,True,0.531,0.847,pteu,False,0.408,0.975,0.12300000000000005
16,pteu,fasttext ,,skip-gram,300,False,True,0.539,0.839,pteu,False,0.423,0.962,0.11600000000000005
52,pteu,glove ,,,1000,False,True,0.442,0.934,pteu,False,0.326,1.043,0.11599999999999999
41,pteu,wang2vec ,,skip-gram,100,False,True,0.5,0.881,pteu,False,0.385,0.997,0.11499999999999999
50,pteu,glove ,,,600,False,True,0.445,0.933,pteu,False,0.33,1.042,0.11499999999999999
56,pteu,glove ,,,100,False,True,0.422,0.962,pteu,False,0.314,1.061,0.10799999999999998
55,pteu,glove ,,,300,False,True,0.436,0.944,pteu,False,0.328,1.045,0.10799999999999998
10,pteu,wang2vec ,,CBOW,100,False,True,0.559,0.818,pteu,False,0.455,0.931,0.10400000000000004
42,pteu,fasttext ,,skip-gram,100,False,True,0.499,0.886,pteu,False,0.395,0.989,0.10399999999999998
45,pteu,wang2vec ,,skip-gram,50,False,True,0.474,0.914,pteu,False,0.37,1.012,0.10399999999999998
3,pteu,word2vec ,,CBOW,1000,False,True,0.596,0.804,pteu,False,0.495,0.905,0.10099999999999998
1,pteu,word2vec ,,CBOW,600,False,True,0.599,0.798,pteu,False,0.5,0.899,0.09899999999999998
34,pteu,wang2vec ,,skip-gram,1000,True,True,0.513,0.865,pteu,False,0.416,0.965,0.09700000000000003
4,pteu,word2vec ,,CBOW,300,False,True,0.594,0.802,pteu,False,0.5,0.897,0.09399999999999997
58,pteu,glove ,,,50,False,True,0.405,0.98,pteu,False,0.312,1.069,0.09300000000000003
2,pteu,word2vec ,,CBOW,1000,True,True,0.596,0.804,pteu,False,0.503,0.897,0.09299999999999997
26,pteu,wang2vec ,,skip-gram,600,True,True,0.523,0.853,pteu,False,0.432,0.949,0.09100000000000003
0,pteu,word2vec ,,CBOW,600,True,True,0.599,0.798,pteu,False,0.508,0.891,0.09099999999999997
5,pteu,word2vec ,,CBOW,300,True,True,0.594,0.803,pteu,False,0.506,0.892,0.08799999999999997
12,pteu,word2vec ,,skip-gram,1000,False,True,0.552,0.834,pteu,False,0.465,0.921,0.08700000000000002
30,pteu,wang2vec ,,CBOW,50,False,True,0.519,0.867,pteu,False,0.432,0.956,0.08700000000000002
44,pteu,fasttext ,,skip-gram,50,False,True,0.477,0.915,pteu,False,0.391,0.995,0.08599999999999997
15,pteu,word2vec ,,skip-gram,600,False,True,0.548,0.841,pteu,False,0.463,0.925,0.08500000000000002
33,pteu,wang2vec ,,CBOW,300,True,True,0.514,0.864,pteu,False,0.432,0.951,0.08200000000000002
9,pteu,word2vec ,,CBOW,100,False,True,0.559,0.84,pteu,False,0.478,0.914,0.08100000000000007
17,pteu,word2vec ,,skip-gram,300,False,True,0.536,0.855,pteu,False,0.456,0.931,0.08000000000000002
8,pteu,word2vec ,,CBOW,100,True,True,0.559,0.84,pteu,False,0.48,0.913,0.07900000000000007
29,pteu,wang2vec ,,skip-gram,300,True,True,0.519,0.858,pteu,False,0.44,0.943,0.07900000000000001
13,pteu,word2vec ,,skip-gram,1000,True,True,0.552,0.834,pteu,False,0.479,0.907,0.07300000000000006
48,pteu,word2vec ,,skip-gram,50,False,True,0.46,0.933,pteu,False,0.389,0.994,0.07100000000000001
11,pteu,wang2vec ,,CBOW,100,True,True,0.559,0.818,pteu,False,0.489,0.897,0.07000000000000006
14,pteu,word2vec ,,skip-gram,600,True,True,0.548,0.841,pteu,False,0.481,0.907,0.06700000000000006
20,pteu,wang2vec ,,CBOW,600,False,True,0.531,0.865,pteu,False,0.464,0.935,0.067
24,pteu,wang2vec ,,CBOW,1000,False,True,0.53,0.864,pteu,False,0.467,0.932,0.063
22,pteu,wang2vec ,,CBOW,600,True,True,0.531,0.865,pteu,False,0.468,0.931,0.063
18,pteu,word2vec ,,skip-gram,300,True,True,0.536,0.855,pteu,False,0.475,0.914,0.061000000000000054
40,pteu,wang2vec ,,skip-gram,100,True,True,0.5,0.881,pteu,False,0.44,0.947,0.06
23,pteu,wang2vec ,,CBOW,1000,True,True,0.53,0.864,pteu,False,0.471,0.928,0.05900000000000005
28,pteu,wang2vec ,,CBOW,50,True,True,0.519,0.867,pteu,False,0.461,0.929,0.057999999999999996
36,pteu,word2vec ,,CBOW,50,True,True,0.51,0.893,pteu,False,0.452,0.939,0.057999999999999996
37,pteu,word2vec ,,CBOW,50,False,True,0.51,0.893,pteu,False,0.453,0.938,0.056999999999999995
39,pteu,word2vec ,,skip-gram,100,False,True,0.505,0.889,pteu,False,0.448,0.941,0.056999999999999995
46,pteu,wang2vec ,,skip-gram,50,True,True,0.474,0.914,pteu,False,0.419,0.971,0.05499999999999999
49,pteu,word2vec ,,skip-gram,50,True,True,0.46,0.933,pteu,False,0.406,0.981,0.05399999999999999
38,pteu,word2vec ,,skip-gram,100,True,True,0.505,0.889,pteu,False,0.465,0.926,0.03999999999999998
63,pteu,fasttext ,,CBOW,1000,False,True,0.386,1.004,pteu,False,0.358,1.025,0.028000000000000025
61,pteu,fasttext ,,CBOW,600,False,True,0.388,1.002,pteu,False,0.362,1.022,0.026000000000000023
65,pteu,fasttext ,,CBOW,300,False,True,0.366,1.022,pteu,False,0.341,1.04,0.024999999999999967
67,pteu,fasttext ,,CBOW,100,False,True,0.353,1.033,pteu,False,0.333,1.046,0.019999999999999962
69,pteu,fasttext ,,CBOW,50,False,True,0.341,1.043,pteu,False,0.322,1.055,0.019000000000000017
62,pteu,fasttext ,,CBOW,1000,True,True,0.387,1.003,pteu,False,0.373,1.02,0.014000000000000012
60,pteu,fasttext ,,CBOW,600,True,True,0.389,1.001,pteu,False,0.378,1.017,0.01100000000000001
64,pteu,fasttext ,,CBOW,300,True,True,0.367,1.021,pteu,False,0.362,1.031,0.0050000000000000044
66,pteu,fasttext ,,CBOW,100,True,True,0.354,1.032,pteu,False,0.361,1.032,-0.007000000000000006
68,pteu,fasttext ,,CBOW,50,True,True,0.342,1.042,pteu,False,0.354,1.039,-0.011999999999999955
