,dataset_language_x,word_embedding,language_model,word_embedding_architecture,word_embedding_size,unk_x,preprocessed,pearson_x,MSE_x,dataset_language_y,unk_y,pearson_y,MSE_y,pearson_diff
57,ptbr,fasttext ,,skip-gram,100,True,True,0.521,0.553,ptbr,False,0.518,0.556,0.003
81,ptbr,fasttext ,,skip-gram,50,True,True,0.486,0.58,ptbr,False,0.483,0.583,0.003
1,ptbr,fasttext ,,skip-gram,1000,False,True,0.59,0.496,ptbr,True,0.588,0.498,0.002
137,ptbr,fasttext ,,CBOW,50,True,True,0.337,0.675,ptbr,False,0.336,0.675,0.001
133,ptbr,fasttext ,,CBOW,100,True,True,0.356,0.665,ptbr,False,0.355,0.665,0.001
125,ptbr,fasttext ,,CBOW,600,True,True,0.368,0.658,ptbr,False,0.367,0.658,0.001
121,ptbr,fasttext ,,CBOW,300,True,True,0.372,0.656,ptbr,False,0.371,0.656,0.001
89,ptbr,wang2vec ,,skip-gram,50,True,True,0.483,0.583,ptbr,False,0.482,0.584,0.001
61,ptbr,wang2vec ,,skip-gram,100,True,True,0.52,0.556,ptbr,False,0.519,0.556,0.001
65,ptbr,wang2vec ,,CBOW,50,True,True,0.501,0.57,ptbr,False,0.5,0.571,0.001
41,ptbr,wang2vec ,,CBOW,300,True,True,0.544,0.536,ptbr,False,0.543,0.536,0.001
9,ptbr,wang2vec ,,skip-gram,600,True,True,0.571,0.515,ptbr,False,0.57,0.515,0.001
25,ptbr,fasttext ,,skip-gram,300,True,True,0.562,0.52,ptbr,False,0.561,0.521,0.001
29,ptbr,wang2vec ,,skip-gram,300,True,True,0.56,0.524,ptbr,False,0.559,0.524,0.001
42,ptbr,wang2vec ,,CBOW,300,False,True,0.543,0.536,ptbr,True,0.544,0.536,-0.001
26,ptbr,fasttext ,,skip-gram,300,False,True,0.561,0.521,ptbr,True,0.562,0.52,-0.001
134,ptbr,fasttext ,,CBOW,100,False,True,0.355,0.665,ptbr,True,0.356,0.665,-0.001
10,ptbr,wang2vec ,,skip-gram,600,False,True,0.57,0.515,ptbr,True,0.571,0.515,-0.001
126,ptbr,fasttext ,,CBOW,600,False,True,0.367,0.658,ptbr,True,0.368,0.658,-0.001
122,ptbr,fasttext ,,CBOW,300,False,True,0.371,0.656,ptbr,True,0.372,0.656,-0.001
90,ptbr,wang2vec ,,skip-gram,50,False,True,0.482,0.584,ptbr,True,0.483,0.583,-0.001
30,ptbr,wang2vec ,,skip-gram,300,False,True,0.559,0.524,ptbr,True,0.56,0.524,-0.001
66,ptbr,wang2vec ,,CBOW,50,False,True,0.5,0.571,ptbr,True,0.501,0.57,-0.001
62,ptbr,wang2vec ,,skip-gram,100,False,True,0.519,0.556,ptbr,True,0.52,0.556,-0.001
138,ptbr,fasttext ,,CBOW,50,False,True,0.336,0.675,ptbr,True,0.337,0.675,-0.001
2,ptbr,fasttext ,,skip-gram,1000,True,True,0.588,0.498,ptbr,False,0.59,0.496,-0.002
58,ptbr,fasttext ,,skip-gram,100,False,True,0.518,0.556,ptbr,True,0.521,0.553,-0.003
82,ptbr,fasttext ,,skip-gram,50,False,True,0.483,0.583,ptbr,True,0.486,0.58,-0.003
